en,cn
lecture,讲座
tutorial,辅导课/小班课
lab,实验课
workshop,工作坊
studio,工作室课程
semester,学期
trimester,三学期制学期
campus,校园
faculty,院系
department,系
major,专业
elective,选修课
core unit,核心课程
enrolment,选课/注册
census date,退课截止日
timetable,课程表
attendance,出勤
participation,课堂参与
prerequisite,先修课
learning outcomes,学习成果
assessment,评估任务
assignment,作业
group assignment,小组作业
individual assignment,个人作业
report,报告
presentation,课堂展示
oral presentation,口头汇报
poster,海报展示
mid-semester test,期中测试
final exam,期末考试
quiz,小测验
online quiz,在线小测
rubric,评分标准
marking criteria,评分细则
feedback,反馈
grade,成绩
HD,高分HD
DN,优良DN
CR,中等CR
PS,及格PS
fail,不及格
resubmission,重交
extension,延期
special consideration,特殊情况申请
late penalty,迟交扣分
plagiarism,抄袭
academic integrity,学术诚信
Turnitin,查重系统
similarity report,查重报告
referencing,引用
Harvard style,哈佛格式
APA style,APA格式
bibliography,参考文献列表
reading list,阅读清单
course notes,课程讲义
lecture recording,录制课程
canvas,Canvas教学平台
ed discussion,Ed讨论区
zoom,Zoom线上会议
breakout room,分组房间
office hour,答疑时间
consultation,导师咨询
demonstrator,实验课助教
tutor,辅导老师
lecturer,主讲老师
course coordinator,课程协调员
unit outline,课程大纲
lab manual,实验手册
safety induction,安全培训
equipment booking,设备预约
library,图书馆
study space,自习空间
group project,小组项目
peer evaluation,同伴互评
team leader,组长
meeting minutes,会议记录
deadline,截止时间
submission portal,提交入口
file format,文件格式
python script,Python脚本
Jupyter notebook,Jupyter笔记本
dataset,数据集
capstone project,毕业设计/综合项目
industry project,产业项目
internship,实习
placement,实习安置
academic transcript,成绩单
GPA,平均绩点
scholarship,奖学金
student visa,学生签证
orientation,新生培训
student card,学生证
student services,学生服务
disability support,残障支持
counselling,心理咨询
career centre,职业发展中心
graduation,毕业
ceremony,毕业典礼
research seminar,学术讲座
field trip,实地考察
